data,postos_pesquisados,preco_gasolina
2015-01-01,34414,3.032
2015-02-01,34078,3.301
2015-03-01,39073,3.323
2015-04-01,37269,3.308
2015-05-01,33871,3.299
2015-06-01,39539,3.301
2015-07-01,36463,3.296
2015-08-01,20698,3.295
2015-09-01,13475,3.277
2015-10-01,14226,3.48
2015-11-01,17843,3.576
2015-12-01,24507,3.633
2016-01-01,22761,3.676
2016-02-01,24756,3.71
2016-03-01,26434,3.73
2016-04-01,22743,3.717
2016-05-01,26393,3.674
2016-06-01,24764,3.646
2016-07-01,22686,3.638
2016-08-01,27838,3.651
2016-09-01,23221,3.648
2016-10-01,24478,3.662
2016-11-01,26093,3.671
2016-12-01,23221,3.734
2017-01-01,26373,3.768
2017-02-01,20404,3.755
2017-03-01,27073,3.687
2017-04-01,22713,3.635
2017-05-01,27610,3.617
2017-06-01,23375,3.548
2017-07-01,23377,3.553
2017-08-01,14838,3.781
2017-09-01,12508,3.881
2017-10-01,15370,3.895
2017-11-01,12806,4.004
2017-12-01,12542,4.085
2018-01-01,27471,4.189
2018-02-01,23032,4.208
2018-03-01,24090,4.199
2018-04-01,25483,4.215
2018-05-01,21203,4.314
2018-06-01,22757,4.552
2018-07-01,25523,4.492
2018-08-01,26503,4.447
2018-09-01,23112,4.625
2018-10-01,27682,4.717
2018-11-01,24409,4.59
2018-12-01,23221,4.365
2019-01-01,29056,4.268
2019-02-01,23251,4.19
2019-03-01,23219,4.305
2019-04-01,27385,4.437
2019-05-01,24841,4.552
2019-06-01,23235,4.468
2019-07-01,28065,4.351
2019-08-01,24149,4.316
2019-09-01,25045,4.326
2019-10-01,27201,4.38
2019-11-01,23235,4.413
2019-12-01,26228,4.531
2020-01-01,25996,4.579
2020-02-01,23230,4.55
2020-03-01,26055,4.462
2020-04-01,25947,4.066
2020-05-01,23056,3.818
2020-06-01,26187,3.964
2020-07-01,25641,4.144
2020-08-01,17042,4.237
2020-10-01,2350,4.358
2020-11-01,7996,4.406
2020-12-01,10805,4.483
2021-01-01,10748,4.622
2021-02-01,11354,4.951
2021-03-01,15378,5.484
2021-04-01,13478,5.448
2021-05-01,15498,5.604
2021-06-01,18804,5.687
2021-07-01,18134,5.807
2021-08-01,20490,5.933
2021-09-01,19641,6.078
2021-10-01,18692,6.341
2021-11-01,21514,6.744
2021-12-01,20695,6.67
2022-01-01,19920,6.635
2022-02-01,20006,6.6
2022-03-01,23030,7.012
2022-04-01,20863,7.245
2022-05-01,24261,7.28
2022-06-01,24407,7.25
2022-07-01,21917,6.05
2022-08-01,26424,5.39
2022-09-01,12154,5.0
2022-10-01,8849,4.89
2022-11-01,13443,5.04
2022-12-01,13541,4.97
2023-01-01,17732,5.05
2023-02-01,16013,5.09
2023-03-01,18512,5.52
2023-04-01,17619,5.51
2023-05-01,22262,5.39
2023-06-01,18686,5.38
2023-07-01,20770,5.61
2023-08-01,21321,5.71
2023-09-01,18534,5.83
2023-10-01,21858,5.73
2023-11-01,19956,5.63
2023-12-01,18822,5.6
2024-01-01,22735,5.57
2024-02-01,19457,5.75
2024-03-01,18955,5.74
2024-04-01,22464,5.8
2024-05-01,19892,5.86
2024-06-01,19016,5.85
2024-07-01,20530,6.04
2024-08-01,17279,6.11
2024-09-01,19177,6.08
2024-10-01,18706,6.09
2024-11-01,16172,6.1
2024-12-01,18631,6.14
2025-01-01,17793,6.18
2025-02-01,17015,6.36
2025-03-01,19844,6.34
2025-04-01,19037,6.32
2025-05-01,18007,6.28
2025-06-01,19122,6.23
2025-07-01,17232,6.21
2025-08-01,14266,6.19
2025-09-01,17103,6.19
2025-10-01,16621,6.2
2025-11-01,16435,6.17
2025-12-01,19948,6.19
2026-01-01,17221,6.32
2026-02-01,17092,6.3
2026-03-01,20349,6.59
2026-04-01,18406,6.74
2026-05-01,17465,6.64
2026-06-01,20390,6.62
2026-07-01,18876,6.57
2026-08-01,19803,6.53
