data,preco_gasolina,postos_pesquisados,indice_ipca,ipca_mensal,salario_minimo
2015-01-01,3.032,34414.0,4110.2,1.24,788
2015-02-01,3.301,34078.0,4160.34,1.22,788
2015-03-01,3.323,39073.0,4215.26,1.32,788
2015-04-01,3.308,37269.0,4245.19,0.71,788
2015-05-01,3.299,33871.0,4276.6,0.74,788
2015-06-01,3.301,39539.0,4310.39,0.79,788
2015-07-01,3.296,36463.0,4337.11,0.62,788
2015-08-01,3.295,20698.0,4346.65,0.22,788
2015-09-01,3.277,13475.0,4370.12,0.54,788
2015-10-01,3.48,14226.0,4405.95,0.82,788
2015-11-01,3.576,17843.0,4450.45,1.01,788
2015-12-01,3.633,24507.0,4493.17,0.96,788
2016-01-01,3.676,22761.0,4550.23,1.27,880
2016-02-01,3.71,24756.0,4591.18,0.9,880
2016-03-01,3.73,26434.0,4610.92,0.43,880
2016-04-01,3.717,22743.0,4639.05,0.61,880
2016-05-01,3.674,26393.0,4675.23,0.78,880
2016-06-01,3.646,24764.0,4691.59,0.35,880
2016-07-01,3.638,22686.0,4715.99,0.52,880
2016-08-01,3.651,27838.0,4736.74,0.44,880
2016-09-01,3.648,23221.0,4740.53,0.08,880
2016-10-01,3.662,24478.0,4752.86,0.26,880
2016-11-01,3.671,26093.0,4761.42,0.18,880
2016-12-01,3.734,23221.0,4775.7,0.3,880
2017-01-01,3.768,26373.0,4793.85,0.38,937
2017-02-01,3.755,20404.0,4809.67,0.33,937
2017-03-01,3.687,27073.0,4821.69,0.25,937
2017-04-01,3.635,22713.0,4828.44,0.14,937
2017-05-01,3.617,27610.0,4843.41,0.31,937
2017-06-01,3.548,23375.0,4832.27,-0.23,937
2017-07-01,3.553,23377.0,4843.87,0.24,937
2017-08-01,3.781,14838.0,4853.07,0.19,937
2017-09-01,3.881,12508.0,4860.83,0.16,937
2017-10-01,3.895,15370.0,4881.25,0.42,937
2017-11-01,4.004,12806.0,4894.92,0.28,937
2017-12-01,4.085,12542.0,4916.46,0.44,937
2018-01-01,4.189,27471.0,4930.72,0.29,954
2018-02-01,4.208,23032.0,4946.5,0.32,954
2018-03-01,4.199,24090.0,4950.95,0.09,954
2018-04-01,4.215,25483.0,4961.84,0.22,954
2018-05-01,4.314,21203.0,4981.69,0.4,954
2018-06-01,4.552,22757.0,5044.46,1.26,954
2018-07-01,4.492,25523.0,5061.11,0.33,954
2018-08-01,4.447,26503.0,5056.56,-0.09,954
2018-09-01,4.625,23112.0,5080.83,0.48,954
2018-10-01,4.717,27682.0,5103.69,0.45,954
2018-11-01,4.59,24409.0,5092.97,-0.21,954
2018-12-01,4.365,23221.0,5100.61,0.15,954
2019-01-01,4.268,29056.0,5116.93,0.32,998
2019-02-01,4.19,23251.0,5138.93,0.43,998
2019-03-01,4.305,23219.0,5177.47,0.75,998
2019-04-01,4.437,27385.0,5206.98,0.57,998
2019-05-01,4.552,24841.0,5213.75,0.13,998
2019-06-01,4.468,23235.0,5214.27,0.01,998
2019-07-01,4.351,28065.0,5224.18,0.19,998
2019-08-01,4.316,24149.0,5229.93,0.11,998
2019-09-01,4.326,25045.0,5227.84,-0.04,998
2019-10-01,4.38,27201.0,5233.07,0.1,998
2019-11-01,4.413,23235.0,5259.76,0.51,998
2019-12-01,4.531,26228.0,5320.25,1.15,998
2020-01-01,4.579,25996.0,5331.42,0.21,1039
2020-02-01,4.55,23230.0,5344.75,0.25,1045
2020-03-01,4.462,26055.0,5348.49,0.07,1045
2020-04-01,4.066,25947.0,5331.91,-0.31,1045
2020-05-01,3.818,23056.0,5311.65,-0.38,1045
2020-06-01,3.964,26187.0,5325.46,0.26,1045
2020-07-01,4.144,25641.0,5344.63,0.36,1045
2020-08-01,4.237,17042.0,5357.46,0.24,1045
2020-09-01,,,5391.75,0.64,1045
2020-10-01,4.358,2350.0,5438.12,0.86,1045
2020-11-01,4.406,7996.0,5486.52,0.89,1045
2020-12-01,4.483,10805.0,5560.59,1.35,1045
2021-01-01,4.622,10748.0,5574.49,0.25,1100
2021-02-01,4.951,11354.0,5622.43,0.86,1100
2021-03-01,5.484,15378.0,5674.72,0.93,1100
2021-04-01,5.448,13478.0,5692.31,0.31,1100
2021-05-01,5.604,15498.0,5739.56,0.83,1100
2021-06-01,5.687,18804.0,5769.98,0.53,1100
2021-07-01,5.807,18134.0,5825.37,0.96,1100
2021-08-01,5.933,20490.0,5876.05,0.87,1100
2021-09-01,6.078,19641.0,5944.21,1.16,1100
2021-10-01,6.341,18692.0,6018.51,1.25,1100
2021-11-01,6.744,21514.0,6075.69,0.95,1100
2021-12-01,6.67,20695.0,6120.04,0.73,1100
2022-01-01,6.635,19920.0,6153.09,0.54,1212
2022-02-01,6.6,20006.0,6215.24,1.01,1212
2022-03-01,7.012,23030.0,6315.93,1.62,1212
2022-04-01,7.245,20863.0,6382.88,1.06,1212
2022-05-01,7.28,24261.0,6412.88,0.47,1212
2022-06-01,7.25,24407.0,6455.85,0.67,1212
2022-07-01,6.05,21917.0,6411.95,-0.68,1212
2022-08-01,5.39,26424.0,6388.87,-0.36,1212
2022-09-01,5.0,12154.0,6370.34,-0.29,1212
2022-10-01,4.89,8849.0,6407.93,0.59,1212
2022-11-01,5.04,13443.0,6434.2,0.41,1212
2022-12-01,4.97,13541.0,6474.09,0.62,1212
2023-01-01,5.05,17732.0,6508.4,0.53,1302
2023-02-01,5.09,16013.0,6563.07,0.84,1302
2023-03-01,5.52,18512.0,6609.67,0.71,1302
2023-04-01,5.51,17619.0,6649.99,0.61,1302
2023-05-01,5.39,22262.0,6665.28,0.23,1320
2023-06-01,5.38,18686.0,6659.95,-0.08,1320
2023-07-01,5.61,20770.0,6667.94,0.12,1320
2023-08-01,5.71,21321.0,6683.28,0.23,1320
2023-09-01,5.83,18534.0,6700.66,0.26,1320
2023-10-01,5.73,21858.0,6716.74,0.24,1320
2023-11-01,5.63,19956.0,6735.55,0.28,1320
2023-12-01,5.6,18822.0,6773.27,0.56,1320
2024-01-01,5.57,22735.0,6801.72,0.42,1412
2024-02-01,5.75,19457.0,6858.17,0.83,1412
2024-03-01,5.74,18955.0,6869.14,0.16,1412
2024-04-01,5.8,22464.0,6895.24,0.38,1412
2024-05-01,5.86,19892.0,6926.96,0.46,1412
2024-06-01,5.85,19016.0,6941.51,0.21,1412
2024-07-01,6.04,20530.0,6967.89,0.38,1412
2024-08-01,6.11,17279.0,6966.5,-0.02,1412
2024-09-01,6.08,19177.0,6997.15,0.44,1412
2024-10-01,6.09,18706.0,7036.33,0.56,1412
2024-11-01,6.1,16172.0,7063.77,0.39,1412
2024-12-01,6.14,18631.0,7100.5,0.52,1412
2025-01-01,6.18,17793.0,7111.86,0.16,1518
2025-02-01,6.36,17015.0,7205.03,1.31,1518
2025-03-01,6.34,19844.0,7245.38,0.56,1518
2025-04-01,6.32,19037.0,7276.54,0.43,1518
2025-05-01,6.28,18007.0,7295.46,0.26,1518
2025-06-01,6.23,19122.0,7312.97,0.24,1518
2025-07-01,6.21,17232.0,7331.98,0.26,1518
2025-08-01,6.19,14266.0,7323.91,-0.11,1518
2025-09-01,6.19,17103.0,7359.06,0.48,1518
2025-10-01,6.2,16621.0,7365.68,0.09,1518
2025-11-01,6.17,16435.0,7378.94,0.18,1518
2025-12-01,6.19,19948.0,7403.29,0.33,1518
2026-01-01,6.32,17221.0,7427.72,0.33,1621
2026-02-01,6.3,17092.0,7479.71,0.7,1621
2026-03-01,6.59,20349.0,7545.53,0.88,1621
2026-04-01,6.74,18406.0,7596.09,0.67,1621
2026-05-01,6.64,17465.0,7640.15,0.58,1621
2026-06-01,6.62,20390.0,7652.37,0.16,1621
2026-07-01,6.57,18876.0,7657.73,0.07,1621
