data,indice_ipca,ipca_mensal
2015-01-01,4110.2,1.24
2015-02-01,4160.34,1.22
2015-03-01,4215.26,1.32
2015-04-01,4245.19,0.71
2015-05-01,4276.6,0.74
2015-06-01,4310.39,0.79
2015-07-01,4337.11,0.62
2015-08-01,4346.65,0.22
2015-09-01,4370.12,0.54
2015-10-01,4405.95,0.82
2015-11-01,4450.45,1.01
2015-12-01,4493.17,0.96
2016-01-01,4550.23,1.27
2016-02-01,4591.18,0.9
2016-03-01,4610.92,0.43
2016-04-01,4639.05,0.61
2016-05-01,4675.23,0.78
2016-06-01,4691.59,0.35
2016-07-01,4715.99,0.52
2016-08-01,4736.74,0.44
2016-09-01,4740.53,0.08
2016-10-01,4752.86,0.26
2016-11-01,4761.42,0.18
2016-12-01,4775.7,0.3
2017-01-01,4793.85,0.38
2017-02-01,4809.67,0.33
2017-03-01,4821.69,0.25
2017-04-01,4828.44,0.14
2017-05-01,4843.41,0.31
2017-06-01,4832.27,-0.23
2017-07-01,4843.87,0.24
2017-08-01,4853.07,0.19
2017-09-01,4860.83,0.16
2017-10-01,4881.25,0.42
2017-11-01,4894.92,0.28
2017-12-01,4916.46,0.44
2018-01-01,4930.72,0.29
2018-02-01,4946.5,0.32
2018-03-01,4950.95,0.09
2018-04-01,4961.84,0.22
2018-05-01,4981.69,0.4
2018-06-01,5044.46,1.26
2018-07-01,5061.11,0.33
2018-08-01,5056.56,-0.09
2018-09-01,5080.83,0.48
2018-10-01,5103.69,0.45
2018-11-01,5092.97,-0.21
2018-12-01,5100.61,0.15
2019-01-01,5116.93,0.32
2019-02-01,5138.93,0.43
2019-03-01,5177.47,0.75
2019-04-01,5206.98,0.57
2019-05-01,5213.75,0.13
2019-06-01,5214.27,0.01
2019-07-01,5224.18,0.19
2019-08-01,5229.93,0.11
2019-09-01,5227.84,-0.04
2019-10-01,5233.07,0.1
2019-11-01,5259.76,0.51
2019-12-01,5320.25,1.15
2020-01-01,5331.42,0.21
2020-02-01,5344.75,0.25
2020-03-01,5348.49,0.07
2020-04-01,5331.91,-0.31
2020-05-01,5311.65,-0.38
2020-06-01,5325.46,0.26
2020-07-01,5344.63,0.36
2020-08-01,5357.46,0.24
2020-09-01,5391.75,0.64
2020-10-01,5438.12,0.86
2020-11-01,5486.52,0.89
2020-12-01,5560.59,1.35
2021-01-01,5574.49,0.25
2021-02-01,5622.43,0.86
2021-03-01,5674.72,0.93
2021-04-01,5692.31,0.31
2021-05-01,5739.56,0.83
2021-06-01,5769.98,0.53
2021-07-01,5825.37,0.96
2021-08-01,5876.05,0.87
2021-09-01,5944.21,1.16
2021-10-01,6018.51,1.25
2021-11-01,6075.69,0.95
2021-12-01,6120.04,0.73
2022-01-01,6153.09,0.54
2022-02-01,6215.24,1.01
2022-03-01,6315.93,1.62
2022-04-01,6382.88,1.06
2022-05-01,6412.88,0.47
2022-06-01,6455.85,0.67
2022-07-01,6411.95,-0.68
2022-08-01,6388.87,-0.36
2022-09-01,6370.34,-0.29
2022-10-01,6407.93,0.59
2022-11-01,6434.2,0.41
2022-12-01,6474.09,0.62
2023-01-01,6508.4,0.53
2023-02-01,6563.07,0.84
2023-03-01,6609.67,0.71
2023-04-01,6649.99,0.61
2023-05-01,6665.28,0.23
2023-06-01,6659.95,-0.08
2023-07-01,6667.94,0.12
2023-08-01,6683.28,0.23
2023-09-01,6700.66,0.26
2023-10-01,6716.74,0.24
2023-11-01,6735.55,0.28
2023-12-01,6773.27,0.56
2024-01-01,6801.72,0.42
2024-02-01,6858.17,0.83
2024-03-01,6869.14,0.16
2024-04-01,6895.24,0.38
2024-05-01,6926.96,0.46
2024-06-01,6941.51,0.21
2024-07-01,6967.89,0.38
2024-08-01,6966.5,-0.02
2024-09-01,6997.15,0.44
2024-10-01,7036.33,0.56
2024-11-01,7063.77,0.39
2024-12-01,7100.5,0.52
2025-01-01,7111.86,0.16
2025-02-01,7205.03,1.31
2025-03-01,7245.38,0.56
2025-04-01,7276.54,0.43
2025-05-01,7295.46,0.26
2025-06-01,7312.97,0.24
2025-07-01,7331.98,0.26
2025-08-01,7323.91,-0.11
2025-09-01,7359.06,0.48
2025-10-01,7365.68,0.09
2025-11-01,7378.94,0.18
2025-12-01,7403.29,0.33
2026-01-01,7427.72,0.33
2026-02-01,7479.71,0.7
2026-03-01,7545.53,0.88
2026-04-01,7596.09,0.67
2026-05-01,7640.15,0.58
2026-06-01,7652.37,0.16
2026-07-01,7657.73,0.07
